# Ecm || delta_mean delta_err || kcotd_mean kcotd_err || ksq ksq_err
0.642422 || 0  0 || 0.000948958  0.000115645 || -0.00758591  0
0.642436 || 0  0 || 0.000947992  0.000115554 || -0.00758141  0
0.64245 || 0  0 || 0.000947024  0.000115462 || -0.00757692  0
0.642464 || 0  0 || 0.000946056  0.000115369 || -0.00757242  0
0.642478 || 0  0 || 0.000945087  0.000115276 || -0.00756792  0
0.642492 || 0  0 || 0.000944117  0.000115183 || -0.00756342  0
0.642506 || 0  0 || 0.000943146  0.000115089 || -0.00755893  0
0.64252 || 0  0 || 0.000942174  0.000114995 || -0.00755443  0
0.642534 || 0  0 || 0.000941202  0.000114901 || -0.00754993  0
0.642548 || 0  0 || 0.000940229  0.000114806 || -0.00754543  0
0.642562 || 0  0 || 0.000939255  0.000114711 || -0.00754093  0
0.642576 || 0  0 || 0.00093828  0.000114616 || -0.00753643  0
0.64259 || 0  0 || 0.000937304  0.00011452 || -0.00753194  0
0.642604 || 0  0 || 0.000936328  0.000114424 || -0.00752744  0
0.642618 || 0  0 || 0.00093535  0.000114327 || -0.00752294  0
0.642632 || 0  0 || 0.000934372  0.000114231 || -0.00751844  0
0.642646 || 0  0 || 0.000933393  0.000114133 || -0.00751394  0
0.64266 || 0  0 || 0.000932413  0.000114035 || -0.00750944  0
0.642674 || 0  0 || 0.000931433  0.000113937 || -0.00750494  0
0.642688 || 0  0 || 0.000930451  0.000113839 || -0.00750044  0
0.642702 || 0  0 || 0.000929469  0.00011374 || -0.00749594  0
0.642716 || 0  0 || 0.000928485  0.000113641 || -0.00749144  0
0.64273 || 0  0 || 0.000927501  0.000113541 || -0.00748695  0
0.642744 || 0  0 || 0.000926516  0.000113441 || -0.00748245  0
0.642758 || 0  0 || 0.000925531  0.000113341 || -0.00747795  0
0.642772 || 0  0 || 0.000924544  0.00011324 || -0.00747345  0
0.642786 || 0  0 || 0.000923556  0.000113138 || -0.00746895  0
0.6428 || 0  0 || 0.000922568  0.000113037 || -0.00746445  0
0.642814 || 0  0 || 0.000921578  0.000112935 || -0.00745995  0
0.642828 || 0  0 || 0.000920588  0.000112832 || -0.00745545  0
0.642842 || 0  0 || 0.000919597  0.000112729 || -0.00745095  0
0.642856 || 0  0 || 0.000918605  0.000112626 || -0.00744645  0
0.64287 || 0  0 || 0.000917612  0.000112522 || -0.00744194  0
0.642884 || 0  0 || 0.000916618  0.000112418 || -0.00743744  0
0.642898 || 0  0 || 0.000915624  0.000112313 || -0.00743294  0
0.642912 || 0  0 || 0.000914628  0.000112208 || -0.00742844  0
0.642926 || 0  0 || 0.000913632  0.000112103 || -0.00742394  0
0.64294 || 0  0 || 0.000912634  0.000111997 || -0.00741944  0
0.642954 || 0  0 || 0.000911636  0.00011189 || -0.00741494  0
0.642968 || 0  0 || 0.000910637  0.000111784 || -0.00741044  0
0.642982 || 0  0 || 0.000909637  0.000111676 || -0.00740594  0
0.642996 || 0  0 || 0.000908636  0.000111569 || -0.00740144  0
0.64301 || 0  0 || 0.000907634  0.000111461 || -0.00739693  0
0.643024 || 0  0 || 0.000906631  0.000111352 || -0.00739243  0
0.643038 || 0  0 || 0.000905627  0.000111243 || -0.00738793  0
0.643052 || 0  0 || 0.000904622  0.000111134 || -0.00738343  0
0.643066 || 0  0 || 0.000903616  0.000111024 || -0.00737893  0
0.64308 || 0  0 || 0.00090261  0.000110914 || -0.00737443  0
0.643094 || 0  0 || 0.000901602  0.000110803 || -0.00736992  0
0.643108 || 0  0 || 0.000900593  0.000110691 || -0.00736542  0
0.643122 || 0  0 || 0.000899584  0.00011058 || -0.00736092  0
0.643136 || 0  0 || 0.000898573  0.000110468 || -0.00735642  0
0.64315 || 0  0 || 0.000897562  0.000110355 || -0.00735191  0
0.643164 || 0  0 || 0.000896549  0.000110242 || -0.00734741  0
0.643178 || 0  0 || 0.000895536  0.000110128 || -0.00734291  0
0.643192 || 0  0 || 0.000894522  0.000110014 || -0.00733841  0
0.643206 || 0  0 || 0.000893506  0.000109899 || -0.0073339  0
0.64322 || 0  0 || 0.00089249  0.000109784 || -0.0073294  0
0.643234 || 0  0 || 0.000891473  0.000109669 || -0.0073249  0
0.643248 || 0  0 || 0.000890454  0.000109553 || -0.00732039  0
0.643262 || 0  0 || 0.000889435  0.000109436 || -0.00731589  0
0.643276 || 0  0 || 0.000888415  0.000109319 || -0.00731139  0
0.64329 || 0  0 || 0.000887393  0.000109202 || -0.00730688  0
0.643304 || 0  0 || 0.000886371  0.000109084 || -0.00730238  0
0.643318 || 0  0 || 0.000885348  0.000108965 || -0.00729788  0
0.643332 || 0  0 || 0.000884323  0.000108846 || -0.00729337  0
0.643346 || 0  0 || 0.000883298  0.000108727 || -0.00728887  0
0.64336 || 0  0 || 0.000882272  0.000108607 || -0.00728437  0
0.643374 || 0  0 || 0.000881244  0.000108486 || -0.00727986  0
0.643388 || 0  0 || 0.000880216  0.000108365 || -0.00727536  0
0.643402 || 0  0 || 0.000879186  0.000108244 || -0.00727085  0
0.643416 || 0  0 || 0.000878156  0.000108122 || -0.00726635  0
0.64343 || 0  0 || 0.000877124  0.000107999 || -0.00726184  0
0.643444 || 0  0 || 0.000876092  0.000107876 || -0.00725734  0
0.643458 || 0  0 || 0.000875058  0.000107752 || -0.00725284  0
0.643472 || 0  0 || 0.000874023  0.000107628 || -0.00724833  0
0.643486 || 0  0 || 0.000872987  0.000107503 || -0.00724383  0
0.6435 || 0  0 || 0.000871951  0.000107378 || -0.00723932  0
0.643514 || 0  0 || 0.000870913  0.000107252 || -0.00723482  0
0.643528 || 0  0 || 0.000869874  0.000107126 || -0.00723031  0
